Rodents,reservoir,body,brain,adult_mass,gestation,litter_size,litters_annually,Synanthropic
Mus_minutoides,N,1.7,-1.31,6,20.7,4.1,4,O
Micromys_minutus,Y,1.86,-1.24,7,21,5.4,2.5,O
Reithrodontomys_megalotis,Y,2.17,-0.92,11,23.5,4.2,4.5,O
Zapus_hudsonius,N,2.9,-0.84,18,18.3,5.5,2,N
Peromyscus_leucopus,Y,3.04,-0.51,18,23.2,4.3,4.5,O
Mus_musculus,Y,3.49,-0.8,19,19.6,5.5,4.5,O
Myodes_gapperi,Y,2.85,-0.58,20,18,5.3,2.4,O
Myodes_rutilus,Y,3.14,-0.58,20,24,5.6,4.2,O
Peromyscus_maniculatus,Y,2.83,-0.73,20,26.8,4.8,2.6,O
Myodes_glareolus,Y,3.09,-0.65,21,19.7,4.2,3.5,O
Lagurus_lagurus,N,3.01,-0.87,21,20.2,3.3,5.3,N
Peromyscus_eremicus,Y,3.19,-0.62,23,27.4,2.5,3,O
Chaetodipus_baileyi,N,3.44,-0.43,26,23,3.6,4,N
Chaetodipus_hispidus,Y,3.56,-0.42,32,28,3.6,2,N
Notomys_alexis,N,3.56,-0.04,32,32.6,4,3.5,N
Sciurus_vulgaris,Y,5.67,1.75,33,38,4,2,O
Myodes_rufocanus,N,3.61,-0.49,36,20.4,5.1,3,N
Microtus_agrestis,Y,3.43,-0.56,36,20.7,4.7,3.5,O
Acomys_cahirinus,Y,3.43,-0.43,36,38.5,2.4,7.6,O
Acomys_cahirinus,Y,3.43,-0.43,36,38.5,2.4,7.6,O
Dipodomys_merriami,Y,3.71,0.29,38,30.8,2.5,1.8,N
Rhabdomys_pumilio,Y,3.78,-0.37,41,25.4,5.4,7,O
Microtus_montanus,N,3.86,-0.37,43,21.2,5.6,4.8,N
Microtus_pennsylvanicus,Y,3.66,-0.26,43,21.2,5.2,2.7,O
Microtus_ochrogaster,Y,3.57,-0.34,43,21.5,3.8,4.1,N
Peromyscus_californicus,Y,3.51,-0.09,44,26.8,4.8,2.6,N
Lemniscomys_striatus,Y,3.85,-0.16,44,25.2,4.7,1.5,N
Microtus_longicaudus,N,3.84,-0.36,45,21.5,5,1.9,N
Microtus_guentheri,Y,3.93,-0.37,50,21,6.1,6.5,N
Dipodomys_ordii,N,4.1,0.34,50,29.7,2.9,2,N
Rattus_exulans,Y,3.85,-0.12,51,21.3,3.8,3.9,O
Pseudomys_australis,N,4.17,0.15,53,31.4,3.3,5.6,N
Microtus_californicus,Y,3.69,-0.25,57,21.2,4.3,5,O
Jaculus_jaculus,N,4.25,0.19,60,33.5,3.2,1.5,N
Lemmus_lemmus,Y,4.23,-0.15,68,20.2,5.1,3.5,N
Glaucomys_volans,Y,4.1,0.59,72,39.5,3,2,O
Heteromys_desmarestianus,Y,4.35,0.12,73,27.9,3.1,3,O
Heteromys_desmarestianus,Y,4.345103281,0.122217633,73,27.9,3.1,3,O
Mastomys_natalensis,Y,4.17438727,-0.261364764,75,23,6,4,O
Dicrostonyx_torquatus,N,4.44,-0.17,79,17.1,3.9,2,N
Thomomys_talpoides,N,4.51,0.06,105,19,4.8,1,N
Tamias_striatus,Y,4.71,0.77,112,31,1.8,1.5,O
Rattus_fuscipes,Y,4.91,0.49,125,23,4.5,3.3,N
Dipodomys_spectabilis,N,4.99,0.75,125,23.5,2.6,2,N
Glis_glis,Y,4.997212274,0.641853886,128,28.2,5,1,O
Tatera_indica,Y,4.85,0.61,138,25.4,4.8,3.8,O
Rattus_rattus,Y,5.01,0.36,143,23.5,5.9,3.8,O
Pteromys_volans,Y,4.08,0.67,143,28.2,2.5,1.5,O
Tamiasciurus_hudsonicus,Y,5.31,1.3,200,34.3,4.1,1.8,O
Callosciurus_notatus,N,5.247024072,1.591273942,200,40,2.2,3,N
Neotoma_fuscipes,Y,5.25,0.98,224,33.3,2.7,1.8,O
Arvicola_amphibius,Y,5.61,0.49,232,21.2,4.9,3.5,O
Neotoma_floridana,Y,5.73,1.11,253,34.8,3.1,2.5,O
Neotoma_micropus,Y,5.43,0.98,255,34,2.5,2,N
Callosciurus_caniceps,N,5.521460918,1.795087259,275,40,3,1.5,N
Rattus_norvegicus,Y,5.71,0.85,283,21.7,9,3.5,O
Neotoma_cinerea,Y,5.6,0.97,286,29.7,3.5,1.5,O
